experimentNumber,easyAxisOrientation,x,y,orientationEstimate,estimationError
42,25,0.00273,0.00644,24.922775600085533,-0.07722439991446706
43,26,0.0,0.0,24.36441794333786,-1.635582056662141
44,26,-0.00403,-0.00849,23.845177264321606,-2.154822735678394
45,26,-0.00577,-0.00318,24.097226756194463,-1.9027732438055374
46,26,0.00088,-0.00557,21.728588125391973,-4.271411874608027
47,26,0.00316,0.00121,24.367833081593396,-1.6321669184066039
48,26,0.00763,0.00886,28.391782509269227,2.391782509269227
49,26,0.00869,-0.00764,24.91642836087406,-1.083571639125939
50,26,0.00074,-0.00344,23.738415777381793,-2.2615842226182075
51,26,-0.00659,0.00095,24.240547404361735,-1.7594525956382654
52,26,0.00165,-0.0075,22.586059823392414,-3.4139401766075856
53,26,0.00255,-0.00267,23.38623597853245,-2.6137640214675493
54,26,-0.00753,0.00161,23.05152194377367,-2.9484780562263317
55,26,0.0058,-5.0e-5,25.821539439808433,-0.1784605601915672
56,26,-0.0016,-0.00386,24.456736265855472,-1.5432637341445279
57,26,0.00797,0.00776,26.342265344930315,0.3422653449303148
58,26,0.00307,0.00401,24.897663554712626,-1.1023364452873743
59,26,-0.00107,0.00445,24.01585262294977,-1.9841473770502311
60,26,0.00536,0.00338,26.28384176416954,0.28384176416954077
61,26,-0.00329,0.0002,23.918096195543924,-2.0819038044560756
62,26,-0.00855,0.00762,25.539145328669356,-0.46085467133064384
63,26,0.00273,0.00644,26.991585707422086,0.991585707422086
64,29,0.0,0.0,29.250454910444127,0.2504549104441267
65,29,-0.00403,-0.00849,28.340991070593525,-0.6590089294064754
66,29,-0.00577,-0.00318,28.791367467295583,-0.20863253270441717
67,29,0.00088,-0.00557,27.36088927112551,-1.6391107288744884
68,29,0.00316,0.00121,26.543167241739734,-2.4568327582602656
69,29,0.00763,0.00886,31.38738661823056,2.387386618230561
70,29,0.00869,-0.00764,29.3746292289577,0.37462922895770134
71,29,0.00074,-0.00344,28.606591229948844,-0.39340877005115615
72,29,-0.00659,0.00095,30.245332035782564,1.245332035782564
73,29,0.00165,-0.0075,27.543022499372388,-1.4569775006276124
74,29,0.00255,-0.00267,28.41304959906792,-0.5869504009320785
75,29,-0.00753,0.00161,27.0720417476532,-1.9279582523468015
76,29,0.0058,-5.0e-5,29.8503185543909,0.8503185543908991
77,29,-0.0016,-0.00386,28.498968400079274,-0.5010315999207258
78,29,0.00797,0.00776,29.41179068131945,0.41179068131944874
79,29,0.00307,0.00401,26.42071128342239,-2.5792887165776115
80,29,-0.00107,0.00445,32.27491579397925,3.274915793979247
81,29,0.00536,0.00338,29.444732587615476,0.4447325876154764
82,29,-0.00329,0.0002,28.42685299826902,-0.5731470017309803
83,29,-0.00855,0.00762,29.555893540899163,0.555893540899163
84,29,0.00273,0.00644,29.45140988367955,0.45140988367954904
85,34,0.0,0.0,30.02176678570163,-3.9782332142983705
86,34,-0.00403,-0.00849,29.646514410353596,-4.353485589646404
87,34,-0.00577,-0.00318,30.358366115503287,-3.641633884496713
88,34,0.00088,-0.00557,29.38259616264933,-4.617403837350668
89,34,0.00316,0.00121,32.215422931866065,-1.7845770681339346
90,34,0.00763,0.00886,34.545917528983395,0.5459175289833951
91,34,0.00869,-0.00764,31.122814164796356,-2.877185835203644
92,34,0.00074,-0.00344,30.36426833704646,-3.635731662953539
93,34,-0.00659,0.00095,30.5616178223601,-3.4383821776399017
94,34,0.00165,-0.0075,28.8482729961741,-5.151727003825901
95,34,0.00255,-0.00267,30.399465097864496,-3.6005349021355038
96,34,-0.00753,0.00161,30.036653068825334,-3.963346931174666
97,34,0.0058,-5.0e-5,31.595611401587288,-2.4043885984127122
98,34,-0.0016,-0.00386,29.88358764795713,-4.116412352042872
99,34,0.00797,0.00776,32.683390253979404,-1.316609746020596
100,34,0.00307,0.00401,32.49068746163142,-1.509312538368583
101,34,-0.00107,0.00445,31.726597687524762,-2.2734023124752376
102,34,0.00536,0.00338,33.81179077979752,-0.18820922020248076
103,34,-0.00329,0.0002,30.11610238278414,-3.8838976172158617
104,34,-0.00855,0.00762,31.171180477755144,-2.8288195222448564
105,34,0.00273,0.00644,34.09403460070004,0.09403460070004144
106,44,0.0,0.0,44.021693304914386,0.021693304914386147
107,44,-0.00403,-0.00849,45.703879810576005,1.7038798105760051
108,44,-0.00577,-0.00318,41.77040113406534,-2.229598865934662
109,44,0.00088,-0.00557,43.525594873932384,-0.47440512606761587
110,44,0.00316,0.00121,45.41611970702089,1.41611970702089
111,44,0.00763,0.00886,48.683156090880175,4.683156090880175
112,44,0.00869,-0.00764,45.1778445664611,1.177844566461097
113,44,0.00074,-0.00344,43.27712560063986,-0.722874399360137
114,44,-0.00659,0.00095,43.37489147834654,-0.6251085216534591
115,44,0.00165,-0.0075,44.074708679631186,0.07470867963118621
116,44,0.00255,-0.00267,44.945744938744255,0.9457449387442551
117,44,-0.00753,0.00161,42.866780955733915,-1.1332190442660846
118,44,0.0058,-5.0e-5,45.825670636619456,1.8256706366194564
119,44,-0.0016,-0.00386,42.98797903767705,-1.01202096232295
120,44,0.00797,0.00776,45.77840718780431,1.7784071878043122
121,44,0.00307,0.00401,45.840356230971274,1.840356230971274
122,44,-0.00107,0.00445,45.31074732550882,1.310747325508821
123,44,0.00536,0.00338,46.189380982021795,2.1893809820217953
124,44,-0.00329,0.0002,43.340120831298854,-0.6598791687011456
125,44,-0.00855,0.00762,44.59341768163054,0.593417681630541
126,44,0.00273,0.00644,45.79595117654137,1.7959511765413723
127,61,0.0,0.0,63.73985765606555,2.7398576560655528
128,61,-0.00403,-0.00849,62.63231427360169,1.6323142736016933
129,61,-0.00577,-0.00318,62.5168632879537,1.5168632879536972
130,61,0.00088,-0.00557,62.518449025941976,1.518449025941976
131,61,0.00316,0.00121,62.67543777474174,1.675437774741738
132,61,0.00763,0.00886,63.46115117948803,2.461151179488027
133,61,0.00869,-0.00764,61.43402091973838,0.43402091973838
134,61,0.00074,-0.00344,62.946017747780836,1.9460177477808358
135,61,-0.00659,0.00095,62.00125922114677,1.0012592211467677
136,61,0.00165,-0.0075,61.995257252632705,0.9952572526327046
137,61,0.00255,-0.00267,63.41880110131283,2.4188011013128303
138,61,-0.00753,0.00161,61.76762080788983,0.767620807889827
139,61,0.0058,-5.0e-5,62.89311763482064,1.8931176348206407
140,61,-0.0016,-0.00386,62.7248435589216,1.7248435589215987
141,61,0.00797,0.00776,63.76583511227449,2.7658351122744875
142,61,0.00307,0.00401,62.61365868755603,1.6136586875560326
143,61,-0.00107,0.00445,62.05398400037305,1.053984000373049
144,61,0.00536,0.00338,62.97873412027353,1.9787341202735291
145,61,-0.00329,0.0002,63.45802198149455,2.4580219814945465
146,61,-0.00855,0.00762,64.46127435116063,3.4612743511606254
147,61,0.00273,0.00644,62.98683628147979,1.986836281479789
148,62,0.0,0.0,62.493651908370836,0.49365190837083617
149,62,-0.00403,-0.00849,62.46227700456421,0.46227700456420706
150,62,-0.00577,-0.00318,61.815471859541084,-0.18452814045891586
151,62,0.00088,-0.00557,61.51136356320928,-0.48863643679072055
152,62,0.00316,0.00121,61.47630243199879,-0.5236975680012108
153,62,0.00763,0.00886,62.41853248809728,0.41853248809727717
154,62,0.00869,-0.00764,61.20424246402949,-0.7957575359705089
155,62,0.00074,-0.00344,61.81338853554539,-0.1866114644546073
156,62,-0.00659,0.00095,61.19909818819076,-0.8009018118092399
157,62,0.00165,-0.0075,61.72145302113921,-0.2785469788607884
